Date,"Cat"
2015-07-01,7675
2015-07-02,7650
2015-07-03,7438
2015-07-04,7177
2015-07-05,7586
2015-07-06,8410
2015-07-07,8211
2015-07-08,8019
2015-07-09,7997
2015-07-10,7501
2015-07-11,6765
2015-07-12,7681
2015-07-13,7841
2015-07-14,9087
2015-07-15,7533
2015-07-16,7495
2015-07-17,7158
2015-07-18,7009
2015-07-19,7608
2015-07-20,8164
2015-07-21,8009
2015-07-22,7787
2015-07-23,7708
2015-07-24,7467
2015-07-25,7247
2015-07-26,7644
2015-07-27,8366
2015-07-28,8691
2015-07-29,8780
2015-07-30,8447
2015-07-31,7993
2015-08-01,7601
2015-08-02,8149
2015-08-03,8032
2015-08-04,8981
2015-08-05,8438
2015-08-06,8386
2015-08-07,7939
2015-08-08,7848
2015-08-09,8598
2015-08-10,8521
2015-08-11,8417
2015-08-12,8347
2015-08-13,8488
2015-08-14,8613
2015-08-15,8071
2015-08-16,8520
2015-08-17,9311
2015-08-18,9337
2015-08-19,8885
2015-08-20,9515
2015-08-21,8560
2015-08-22,8115
2015-08-23,8866
2015-08-24,9646
2015-08-25,9274
2015-08-26,9608
2015-08-27,9276
2015-08-28,9782
2015-08-29,8514
2015-08-30,8736
2015-08-31,9270
2015-09-01,10216
2015-09-02,9700
2015-09-03,10548
2015-09-04,11439
2015-09-05,8522
2015-09-06,8955
2015-09-07,9811
2015-09-08,10392
2015-09-09,10164
2015-09-10,10305
2015-09-11,9679
2015-09-12,8519
2015-09-13,9212
2015-09-14,10204
2015-09-15,10576
2015-09-16,9891
2015-09-17,11260
2015-09-18,10038
2015-09-19,9109
2015-09-20,9378
2015-09-21,10447
2015-09-22,10715
2015-09-23,9839
2015-09-24,10015
2015-09-25,10079
2015-09-26,8737
2015-09-27,10886
2015-09-28,10870
2015-09-29,11280
2015-09-30,10500
2015-10-01,9045
2015-10-02,8960
2015-10-03,7772
2015-10-04,8520
2015-10-05,9668
2015-10-06,10154
2015-10-07,10073
2015-10-08,9867
2015-10-09,9069
2015-10-10,7869
2015-10-11,8705
2015-10-12,9655
2015-10-13,45550
2015-10-14,10170
2015-10-15,10253
2015-10-16,8899
2015-10-17,8269
2015-10-18,8934
2015-10-19,10197
2015-10-20,10139
2015-10-21,10078
2015-10-22,9333
2015-10-23,9216
2015-10-24,7815
2015-10-25,8643
2015-10-26,9814
2015-10-27,10263
2015-10-28,9880
2015-10-29,9886
2015-10-30,8559
2015-10-31,7220
2015-11-01,7992
2015-11-02,10038
2015-11-03,9728
2015-11-04,9873
2015-11-05,9855
2015-11-06,9028
2015-11-07,7964
2015-11-08,9119
2015-11-09,10813
2015-11-10,11247
2015-11-11,11285
2015-11-12,9815
2015-11-13,8711
2015-11-14,7478
2015-11-15,7995
2015-11-16,9799
2015-11-17,10215
2015-11-18,10213
2015-11-19,9827
2015-11-20,9355
2015-11-21,7848
2015-11-22,8939
2015-11-23,9599
2015-11-24,9859
2015-11-25,9355
2015-11-26,8306
2015-11-27,8479
2015-11-28,8275
2015-11-29,8804
2015-11-30,9805
2015-12-01,9934
2015-12-02,9941
2015-12-03,9739
2015-12-04,9583
2015-12-05,8331
2015-12-06,8795
2015-12-07,9715
2015-12-08,10039
2015-12-09,10084
2015-12-10,9365
2015-12-11,9130
2015-12-12,7924
2015-12-13,8323
2015-12-14,9886
2015-12-15,9283
2015-12-16,8963
2015-12-17,8672
2015-12-18,8078
2015-12-19,8318
2015-12-20,7839
2015-12-21,7390
2015-12-22,7369
2015-12-23,81579
2015-12-24,26227
2015-12-25,6744
2015-12-26,6964
2015-12-27,7212
2015-12-28,7786
2015-12-29,7657
2015-12-30,8146
2015-12-31,6932
2016-01-01,7077
2016-01-02,7987
2016-01-03,8317
2016-01-04,8820
2016-01-05,8935
2016-01-06,9124
2016-01-07,9289
2016-01-08,8813
2016-01-09,8092
2016-01-10,8704
2016-01-11,9103
2016-01-12,9408
2016-01-13,9464
2016-01-14,9288
2016-01-15,9302
2016-01-16,7852
2016-01-17,8661
2016-01-18,9003
2016-01-19,9731
2016-01-20,9862
2016-01-21,10561
2016-01-22,8974
2016-01-23,8479
2016-01-24,9814
2016-01-25,10314
2016-01-26,9611
2016-01-27,10850
2016-01-28,9474
2016-01-29,9109
2016-01-30,7494
2016-01-31,8635
2016-02-01,9543
2016-02-02,9342
2016-02-03,10408
2016-02-04,10030
2016-02-05,9229
2016-02-06,7670
2016-02-07,8186
2016-02-08,12299
2016-02-09,9568
2016-02-10,10009
2016-02-11,10449
2016-02-12,14479
2016-02-13,7549
2016-02-14,7790
2016-02-15,8957
2016-02-16,9250
2016-02-17,9840
2016-02-18,9636
2016-02-19,8966
